,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
32583,539092,35001W,HAND OPEN SHAPE DECO.WHITE,6,2010-12-16 10:08:00,2.0,154820,United Kingdom
34058,539317,22830,UTILTY CABINET WITH HOOKS,1,2010-12-16 19:04:00,26.95,173920,United Kingdom
34162,539321,85031B,BLOSSOM IMAGES SCRAP BOOK SET,1,2010-12-16 19:19:00,4.95,147230,United Kingdom
36328,539450,37464,ROBOT MUG IN DISPLAY BOX,2,2010-12-17 16:53:00,1.25,155700,United Kingdom
37048,539453,90142A,GREEN PENDANT SHELL NECKLACE,1,2010-12-17 17:08:00,5.09,,United Kingdom
37286,539456,90178B,PURPLE CHUNKY GLASS+BEAD NECKLACE,1,2010-12-17 17:23:00,11.95,168850,United Kingdom
37548,539470,85109,PINK BOUDOIR T-LIGHT HOLDER,12,2010-12-19 14:03:00,0.85,144720,United Kingdom
37557,539470,84802A,WHITE ANEMONE ARTIFICIAL FLOWER,2,2010-12-19 14:03:00,1.69,144720,United Kingdom
38541,539584,21491,nan,1,2010-12-20 12:54:00,0.0,,United Kingdom
39313,539631,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,2,2010-12-20 15:03:00,16.13,,United Kingdom
39748,539665,21011,GLITTER SNOW PEAR TREE DECORATION,2,2010-12-21 10:35:00,1.45,,United Kingdom
40259,539735,18098c,PORCELAIN BUTTERFLY OIL BURNER,2,2010-12-21 15:17:00,5.06,,United Kingdom
40382,539736,85160a,WHITE BIRD GARDEN DESIGN MUG,1,2010-12-21 15:18:00,16.13,,United Kingdom
40383,539736,m,Manual,1,2010-12-21 15:18:00,2.55,,United Kingdom
40697,539740,85035b,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,2010-12-21 15:20:00,8.47,,United Kingdom
40766,539741,84968f,SET OF 16 VINTAGE SKY BLUE CUTLERY,1,2010-12-21 15:20:00,25.49,,United Kingdom
40800,539742,84596b,SMALL DOLLY MIX DESIGN ORANGE BOWL,1,2010-12-21 15:20:00,2.51,,United Kingdom
40854,539744,85035a,GARDENIA 3 WICK MORRIS BOXED CANDLE,1,2010-12-21 15:21:00,8.47,,United Kingdom
40936,539747,84534b,FAIRY CAKE NOTEBOOK A5 SIZE,1,2010-12-21 15:23:00,1.66,,United Kingdom
42711,540018,90112,nan,2,2011-01-04 12:07:00,0.0,,United Kingdom
44916,540246,79320,FLAMINGO LIGHTS,1,2011-01-05 15:43:00,4.95,130810,United Kingdom
45915,540307,21645,ASSORTED TUTTI FRUTTI ROUND BOX,24,2011-01-06 12:58:00,1.65,158230,United Kingdom
47170,540393,85042,ANTIQUE LILY FAIRY LIGHTS,1,2011-01-06 18:08:00,4.95,174280,United Kingdom
49847,540535,85023C,PINK LARGE JEWELED PHOTOFRAME,1,2011-01-09 14:17:00,2.55,150050,United Kingdom
50734,540551,90120D,WHITE MURANO TWIST BRACELET,1,2011-01-10 09:43:00,4.24,,United Kingdom
50808,540560,21589,nan,14,2011-01-10 10:08:00,0.0,,United Kingdom
51049,540638,72038P,damages,990,2011-01-10 12:14:00,0.0,,United Kingdom
52095,540684,35271S,nan,13,2011-01-10 17:01:00,0.0,,United Kingdom
53009,540821,90042C,FRESHWATER PEARL BRACELET IVORY,1,2011-01-11 13:16:00,2.54,,United Kingdom
53368,540832,85099f,JUMBO BAG STRAWBERRY,7,2011-01-11 14:42:00,4.96,,United Kingdom
53698,540848,90092,BLUE CRYSTAL BOOT PHONE CHARM,1,2011-01-12 09:26:00,1.66,,United Kingdom
54514,540954,22323,PINK POLKADOT KIDS BAG,1,2011-01-12 13:19:00,1.95,146060,United Kingdom
55791,540995,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,1,2011-01-13 09:30:00,1.63,,United Kingdom
58240,541223,85018D,YULETIDE IMAGES S/6 PAPER BOXES,1,2011-01-14 14:39:00,2.55,179540,United Kingdom
58547,541252,75013B,"STRING OF 8 BUTTERFLIES,PINK",3,2011-01-16 13:41:00,1.65,130640,United Kingdom
58588,541254,21667,GLASS CAKE COVER AND PLATE,2,2011-01-16 13:53:00,14.95,178410,United Kingdom
59476,541289,84675,FROG KING WATERING CAN,4,2011-01-17 13:23:00,2.95,146060,United Kingdom
61628,541434,85055,FRENCH ENAMEL UTENSIL HOLDER,20,2011-01-18 10:22:00,2.95,149110,EIRE
62176,541497,21632,VINTAGE PINK DECORATIVE PARASOL,2,2011-01-18 15:19:00,8.29,,United Kingdom
64154,541593,37379A,PINK CHERRY BLOSSOM CUP & SAUCER,6,2011-01-19 15:20:00,1.25,176110,United Kingdom
64650,541658,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,1,2011-01-20 12:16:00,0.85,155290,United Kingdom
65881,541698,85206B,PINK FELT EASTER EGG BASKET,8,2011-01-20 19:16:00,1.65,147130,United Kingdom
66848,541827,22184,CAKE STAND VICTORIAN FILIGREE LARGE,1,2011-01-21 17:05:00,8.29,,United Kingdom
67506,541834,85118,HEART T-LIGHT HOLDER,6,2011-01-21 17:24:00,1.25,170480,United Kingdom
67562,541838,22862,LOVE HEART NAPKIN BOX,8,2011-01-23 10:43:00,4.25,129160,United Kingdom
67924,541848,21357,TOAST ITS - DINOSAUR,2,2011-01-23 13:31:00,1.25,176110,United Kingdom
70180,541999,90120A,PINK MURANO TWIST BRACELET,5,2011-01-25 10:45:00,4.25,,United Kingdom
70204,541999,90037A,TINY CRYSTAL BRACELET RED,1,2011-01-25 10:45:00,2.48,,United Kingdom
70742,542100,22146,EASTER CRAFT IVY WREATH WITH CHICK,1,2011-01-25 13:15:00,1.95,153390,United Kingdom
71282,542115,47570b,TEA TIME TABLE CLOTH,1,2011-01-25 14:01:00,20.79,,United Kingdom
71633,542156,21348,nan,8,2011-01-26 10:52:00,0.0,,United Kingdom
71845,542216,16206B,RED PURSE WITH PINK HEART,5,2011-01-26 12:29:00,1.25,149110,EIRE
71973,542221,72815,3 WICK CHRISTMAS BRIAR CANDLE,2,2011-01-26 12:40:00,3.75,149780,United Kingdom
72371,542241,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1,2011-01-26 14:51:00,0.42,164090,United Kingdom
72679,542255,62094B,TURQ ICE CREAM BUM BAG,1,2011-01-26 16:43:00,4.96,,United Kingdom
73936,542395,85126,LARGE ROUND CUTGLASS CANDLESTICK,1,2011-01-27 15:12:00,6.75,173890,United Kingdom
73991,542398,85047,WHITE BEADED GARLAND STRING 20LIGHT,2,2011-01-27 15:36:00,6.35,131740,United Kingdom
74642,542507,20798,nan,5,2011-01-28 12:06:00,0.0,,United Kingdom
74825,542529,DCGS0055,nan,1,2011-01-28 13:08:00,0.0,,United Kingdom
74838,542531,DCGS0072,nan,1,2011-01-28 13:08:00,0.0,,United Kingdom
74839,542532,DCGS0074,nan,1,2011-01-28 13:09:00,0.0,,United Kingdom
75221,542545,17165D,nan,9,2011-01-28 14:44:00,0.0,,United Kingdom
75227,542551,21282,nan,1,2011-01-28 14:46:00,0.0,,United Kingdom
75235,542559,35991,nan,1,2011-01-28 14:51:00,0.0,,United Kingdom
75239,542563,84509F,nan,1,2011-01-28 14:52:00,0.0,,United Kingdom
75259,542576,85179B,nan,1,2011-01-28 14:56:00,0.0,,United Kingdom
75292,542579,90000C,nan,1,2011-01-28 14:57:00,0.0,,United Kingdom
75294,542581,90091,nan,1,2011-01-28 14:58:00,0.0,,United Kingdom
76001,542617,21690,SILVER  CANDLEPOT JARDIN,2,2011-01-30 15:48:00,3.75,174630,United Kingdom
77468,542731,17028J,INCENSE BAZAAR PEACH,6,2011-01-31 15:27:00,0.42,136000,United Kingdom
77755,542784,84795C,nan,3,2011-02-01 10:04:00,0.0,,United Kingdom
79999,543013,47591B,SCOTTIES CHILDRENS APRON,2,2011-02-02 13:35:00,1.63,,United Kingdom
80348,543040,16010,FOLDING CAMPING SCISSOR W/KNIF & S,12,2011-02-02 17:06:00,0.12,173370,United Kingdom
80487,543040,79192A,RETRO PLASTIC 70'S TRAY,2,2011-02-02 17:06:00,1.25,173370,United Kingdom
82610,543238,22833,nan,1,2011-02-04 13:42:00,0.0,,United Kingdom
82796,543259,84612B,thrown away,162,2011-02-04 16:07:00,0.0,,United Kingdom
82797,543260,84613A,thrown away,230,2011-02-04 16:07:00,0.0,,United Kingdom
82799,543262,84614A,thrown away,390,2011-02-04 16:08:00,0.0,,United Kingdom
83504,543308,35969,nan,3,2011-02-07 12:04:00,0.0,,United Kingdom
83782,543350,84823,DANISH ROSE FOLDING CHAIR,1,2011-02-07 13:15:00,7.95,138090,Cyprus
87114,543631,72821,CUPID SCENTED CANDLE IN GLASS,3,2011-02-10 16:17:00,1.65,140810,United Kingdom
88002,543744,21655,HANGING RIDGE GLASS T-LIGHT HOLDER,12,2011-02-11 13:43:00,1.69,136720,United Kingdom
88005,543745,85232B,SET OF 3 BABUSHKA STACKING TINS,3,2011-02-11 13:46:00,4.95,136720,United Kingdom
88661,543812,22242,5 HOOK HANGER MAGIC TOADSTOOL,1,2011-02-13 14:40:00,1.65,174720,United Kingdom
89331,543899,84803A,PINK ALLIUM  ARTIFICIAL FLOWER,3,2011-02-14 12:11:00,1.69,,EIRE
89812,543975,90152C,BLUE/NAT SHELL NECKLACE W PENDANT,1,2011-02-14 15:23:00,5.95,172310,United Kingdom
90097,543985,90128D,PURPLE LEAVES AND BEADS PHONE CHAR,1,2011-02-15 09:44:00,2.46,,United Kingdom
90868,544073,21785,RAIN PONCHO,407,2011-02-15 14:44:00,0.65,149350,Channel Islands
92881,544207,84596g,SMALL CHOCOLATES PINK BOWL,3,2011-02-17 10:34:00,2.46,,United Kingdom
93258,544286,21757,LIGHTHOUSE PRINTED METAL SIGN,2,2011-02-17 12:29:00,4.95,131510,United Kingdom
93924,544320,16033,MINI HIGHLIGHTER PENS,480,2011-02-17 15:40:00,0.12,173810,United Kingdom
95181,544448,20854,BLUE PATCH PURSE PINK HEART,3,2011-02-20 12:01:00,1.65,148780,United Kingdom
95417,544455,21657,MILK BOTTLE WITH GLASS STOPPER,1,2011-02-20 13:18:00,6.95,130970,United Kingdom
95419,544455,84562A,PINK/WHITE RIBBED MELAMINE JUG,1,2011-02-20 13:18:00,7.95,130970,United Kingdom
95426,544456,85092,CANDY SPOT TEA COSY,24,2011-02-20 13:21:00,1.25,148030,United Kingdom
96679,544579,21651,nan,6,2011-02-21 14:05:00,0.0,,United Kingdom
97681,544653,85065,CREAM SWEETHEART TRAYS,1,2011-02-22 12:55:00,12.75,131130,United Kingdom
97853,544659,21661,VINTAGE GLASS TEA CADDY,1,2011-02-22 13:20:00,5.95,181140,United Kingdom
98049,544666,21681,GIANT MEDINA STAMPED METAL BOWL,1,2011-02-22 15:00:00,9.95,169070,United Kingdom
98375,544677,21414,SCALLOP SHELL SOAP DISH,1,2011-02-22 16:13:00,2.1,181960,United Kingdom
100918,544887,90100,NECKLACE+BRACELET SET PINK DAISY,1,2011-02-24 11:54:00,2.55,173640,United Kingdom
101269,544909,62096A,PINK/YELLOW FLOWERS HANDBAG,46,2011-02-24 14:32:00,1.25,142980,United Kingdom
102210,544998,21692,SILVER LATTICE VANILLA CANDLE POT,2,2011-02-25 11:56:00,3.75,144700,United Kingdom
103821,545079,21717,EASTER TIN BUCKET,2,2011-02-28 10:30:00,2.55,182830,United Kingdom
104473,545182,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,2011-02-28 14:48:00,0.29,140460,United Kingdom
105122,545216,90187A,BLUE DROP EARRINGS W BEAD CLUSTER,1,2011-02-28 16:50:00,3.32,,United Kingdom
105432,545226,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,2011-03-01 09:33:00,1.25,124280,Finland
105603,545230,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2011-03-01 09:55:00,8.29,,United Kingdom
105970,545302,84802B,PURPLE ANEMONE ARTIFICIAL FLOWER,4,2011-03-01 12:46:00,1.69,145060,United Kingdom
106642,545337,84985A,SET OF 72 GREEN PAPER DOILIES,1,2011-03-01 17:28:00,1.45,159840,United Kingdom
106644,545337,20820,SILVER LOOKING MIRROR,2,2011-03-01 17:28:00,4.95,159840,United Kingdom
107041,545401,21769,showroom,5,2011-03-02 12:03:00,0.0,,United Kingdom
108685,545563,20671,nan,22,2011-03-03 16:13:00,0.0,,United Kingdom
109346,545600,85160A,nan,21,2011-03-04 11:45:00,0.0,,United Kingdom
110233,545682,90084,PINK CRYSTAL GUITAR PHONE CHARM,1,2011-03-06 11:39:00,0.85,147010,United Kingdom
111162,545713,20960,WATERMELON BATH SPONGE,1,2011-03-07 10:12:00,2.46,,United Kingdom
111671,545812,90040A,MURANO STYLE GLASS BRACELET RED,3,2011-03-07 12:26:00,3.5,142140,United Kingdom
112074,545868,35004C,SET OF 3 COLOURED  FLYING DUCKS,1,2011-03-07 14:33:00,5.45,178410,United Kingdom
115356,546117,21228,"POCKET MIRROR ""GLAMOROUS""",4,2011-03-09 13:56:00,1.25,167710,United Kingdom
115488,546124,35610C,Thrown away.,1121,2011-03-09 14:50:00,0.0,,United Kingdom
115489,546126,35611B,thrown away,27,2011-03-09 14:52:00,0.0,,United Kingdom
115504,546129,35610B,thrown away,541,2011-03-09 15:07:00,0.0,,United Kingdom
115505,546130,35610A,thrown away,1277,2011-03-09 15:08:00,0.0,,United Kingdom
115818,546152,72140F,throw away,5368,2011-03-09 17:25:00,0.0,,United Kingdom
117324,546381,35647,VINTAGE BEAD PINK SHADE,1,2011-03-11 12:29:00,1.25,127480,United Kingdom
118145,546423,85008,SET OF 3 CONEY ISLAND OVAL BOXES,1,2011-03-13 12:39:00,4.95,145020,United Kingdom
118734,546466,84898F,YELLOW FLOWERS FELT HANDBAG KIT,1,2011-03-14 11:04:00,2.1,181180,United Kingdom
118946,546502,21392,RED POLKADOT PUDDING BOWL,1,2011-03-14 11:46:00,0.39,160050,United Kingdom
120723,546670,21040,MODERN VINTAGE COTTON SHOPPING BAG,5,2011-03-15 15:37:00,0.79,134510,United Kingdom
121289,546753,21826,EIGHT PIECE DINOSAUR SET,6,2011-03-16 13:00:00,1.25,163830,United Kingdom
121360,546756,79067,nan,5,2011-03-16 13:31:00,0.0,,United Kingdom
121606,546774,85189,HANGING BUTTERFLY  EGG,2,2011-03-16 15:45:00,0.85,145050,United Kingdom
123093,546891,85206A,CREAM FELT EASTER EGG BASKET,3,2011-03-17 18:18:00,1.65,,United Kingdom
124151,546951,82605,OLD DOC RUSSEL METAL SIGN,1,2011-03-18 11:30:00,2.1,176730,United Kingdom
124162,546951,37423,WHITE WITH BLACK CATS PLATE,24,2011-03-18 11:30:00,0.39,176730,United Kingdom
124191,546957,90068,"RUBY GLASS NECKLACE 42""",1,2011-03-18 11:32:00,7.5,,United Kingdom
125807,547062,37351,ORANGE FLOWER MUG,4,2011-03-20 13:28:00,0.39,167280,United Kingdom
126608,547089,21316,SMALL CHUNKY GLASS ROMAN  BOWL,1,2011-03-20 16:10:00,2.95,,United Kingdom
126906,547106,22021,BLUE FELT EASTER EGG BASKET,1,2011-03-21 11:24:00,1.65,150390,United Kingdom
127043,547168,84750A,PINK SMALL GLASS CAKE STAND,24,2011-03-21 12:10:00,1.95,135930,United Kingdom
127910,547248,90200C,BLUE SWEETHEART BRACELET,2,2011-03-22 09:23:00,4.15,,United Kingdom
128060,547249,35911B,PINK/FLOWER RABBIT EGG WARMER,49,2011-03-22 09:27:00,0.43,,United Kingdom
128474,547343,77101A,nan,4,2011-03-22 11:54:00,0.0,,United Kingdom
128728,547358,37330,BIG POLKADOT MUG,6,2011-03-22 12:25:00,0.39,159980,United Kingdom
129765,547389,21416,CLAM SHELL LARGE,1,2011-03-22 16:08:00,3.75,167210,United Kingdom
129792,547395,84977,nan,1,2011-03-22 16:38:00,0.0,,United Kingdom
130167,547416,84678,CLASSICAL ROSE SMALL VASE,6,2011-03-23 10:15:00,2.55,154100,United Kingdom
130447,547490,21460,GREEN EASTER EGG HUNT START POST,1,2011-03-23 11:48:00,1.95,175070,United Kingdom
130517,547497,90036F,"FLOWER GLASS GARLD NECKL36""TURQUOIS",4,2011-03-23 12:15:00,7.95,144610,United Kingdom
130632,547498,72051S,BAG OF SILVER STONES,1,2011-03-23 12:24:00,0.42,150210,United Kingdom
130737,547506,21538,nan,2,2011-03-23 13:38:00,0.0,,United Kingdom
131388,547556,85224,ASSORTED COLOUR SILK GLASSES CASE,3,2011-03-23 16:45:00,2.1,172500,United Kingdom
131398,547559,72759,thrown away-can't sell.,524,2011-03-23 17:27:00,0.0,,United Kingdom
131399,547560,72732,thrown away-can't sell,2472,2011-03-23 17:28:00,0.0,,United Kingdom
131702,547596,84306,nan,5,2011-03-24 11:20:00,0.0,,United Kingdom
131708,547618,21547,nan,12,2011-03-24 11:28:00,0.0,,United Kingdom
132814,547701,84559D,nan,7,2011-03-24 16:42:00,0.0,,United Kingdom
133738,547793,22764,"RUSTIC WOODEN CABINET, GLASS DOORS",2,2011-03-25 12:10:00,24.95,147580,United Kingdom
133993,547813,84840,nan,1,2011-03-25 14:11:00,0.0,,United Kingdom
134494,547850,85188B,PINK METAL SWINGING BUNNY,2,2011-03-27 12:06:00,0.85,144720,United Kingdom
134852,547871,21839,MUMMY MOUSE RED GINGHAM RIBBON,1,2011-03-27 14:28:00,5.45,169310,United Kingdom
136090,547928,37444B,nan,1,2011-03-28 14:00:00,0.0,,United Kingdom
136091,547929,21393,nan,3,2011-03-28 14:00:00,0.0,,United Kingdom
136102,547934,35910A,MULTICOLOUR EASTER RABBIT,6,2011-03-28 14:07:00,1.95,124740,Germany
136879,547995,35823P,nan,12,2011-03-29 10:20:00,0.0,,United Kingdom
136881,547997,20857,nan,34,2011-03-29 10:22:00,0.0,,United Kingdom
137184,548095,20850,nan,3,2011-03-29 12:17:00,0.0,,United Kingdom
137186,548104,84854,nan,3,2011-03-29 12:18:00,0.0,,United Kingdom
138235,548191,90024E,NEW BAROQUE B'FLY NECKLACE MONTANA,1,2011-03-29 15:20:00,8.32,,United Kingdom
138515,548198,47593A,CAROUSEL PONIES BABY BIB,3,2011-03-29 16:05:00,0.29,167120,United Kingdom
138723,548210,21827,EIGHT PIECE CREEPY CRAWLIE SET,1,2011-03-29 17:23:00,1.25,146060,United Kingdom
139064,548269,22036,nan,45,2011-03-30 11:35:00,0.0,,United Kingdom
140200,548381,22127,sold in set?,690,2011-03-30 16:45:00,0.0,,United Kingdom
140940,548492,84743C,ORANGE FELT VASE + FLOWERS,1,2011-03-31 13:14:00,1.25,178410,United Kingdom
142061,548545,90026B,GLASS BEAD HOOP NECKLACE MONTANA,1,2011-03-31 19:12:00,8.5,131180,United Kingdom
142546,548613,84596E,SMALL LICORICE DES PINK BOWL,84,2011-04-01 11:46:00,0.42,136940,United Kingdom
142631,548620,84313B,Damaged,32,2011-04-01 11:53:00,0.0,,United Kingdom
143303,548677,72781,nan,30,2011-04-01 16:40:00,0.0,,United Kingdom
143304,548678,35015,nan,9,2011-04-01 16:41:00,0.0,,United Kingdom
143310,548684,72798C,nan,2,2011-04-01 16:46:00,0.0,,United Kingdom
143930,548714,10002,INFLATABLE POLITICAL GLOBE,2,2011-04-03 15:07:00,0.85,173370,United Kingdom
143934,548714,85017A,ENVELOPE 50 ROMANTIC IMAGES,1,2011-04-03 15:07:00,0.85,173370,United Kingdom
143968,548714,20906,VINTAGE NOTEBOOK BEAUTY GIRL,2,2011-04-03 15:07:00,2.95,173370,United Kingdom
144098,548723,85063,CREAM SWEETHEART MAGAZINE RACK,1,2011-04-04 09:02:00,16.95,158740,United Kingdom
145037,548864,75131,METAL TUBE CHIME ON BAMBOO,1,2011-04-04 14:00:00,1.69,157560,United Kingdom
145070,548866,20681,PINK POLKADOT CHILDRENS UMBRELLA,1,2011-04-04 14:09:00,3.25,146060,United Kingdom
145259,548889,84875A,nan,17,2011-04-04 15:26:00,0.0,,United Kingdom
146336,548984,21333,CLASSIC WHITE FRAME,4,2011-04-05 12:37:00,2.95,145460,United Kingdom
146979,549030,84520B,nan,61,2011-04-05 17:03:00,0.0,,United Kingdom
146980,549031,10134,nan,19,2011-04-05 17:04:00,0.0,,United Kingdom
146986,549037,84569C,nan,37,2011-04-05 17:09:00,0.0,,United Kingdom
147304,549101,84968B,SET OF 16 VINTAGE IVORY CUTLERY,1,2011-04-06 11:34:00,12.75,146060,United Kingdom
147348,549106,20785,FUSCHIA RETRO BAR STOOL,1,2011-04-06 12:08:00,39.95,170450,United Kingdom
147606,549126,84801B,WHITE HYDRANGEA ART FLOWER,12,2011-04-06 14:23:00,2.1,160310,United Kingdom
148082,549158,21910,nan,1,2011-04-06 17:13:00,0.0,,United Kingdom
148089,549164,16169P,nan,75,2011-04-06 17:20:00,0.0,,United Kingdom
148091,549166,44265,nan,3,2011-04-06 17:21:00,0.0,,United Kingdom
148109,549173,84218,nan,2,2011-04-06 17:28:00,0.0,,United Kingdom
148110,549174,21160,nan,7,2011-04-06 17:30:00,0.0,,United Kingdom
148114,549178,47502,nan,19,2011-04-06 17:33:00,0.0,,United Kingdom
148626,549248,79331,PINK FLOCK GLASS CANDLEHOLDER,8,2011-04-07 12:04:00,0.38,138920,United Kingdom
149051,549271,62096B,nan,2,2011-04-07 12:48:00,0.0,,United Kingdom
149328,549291,84459B,YELLOW METAL CHICKEN HEART,1,2011-04-07 19:05:00,1.49,162610,United Kingdom
150148,549330,84251J,nan,28,2011-04-08 10:53:00,0.0,,United Kingdom
